CO1_conventional_hydroelectric_1,FL1_conventional_hydroelectric_1,GC3_conventional_hydroelectric_1,ID1_conventional_hydroelectric_1,KY1_conventional_hydroelectric_1,MT1_conventional_hydroelectric_1,NE1_conventional_hydroelectric_1,OK1_conventional_hydroelectric_1,TX2_conventional_hydroelectric_1,WY1_conventional_hydroelectric_1,eastern0_conventional_hydroelectric_1,eastern1_conventional_hydroelectric_1,eastern2_conventional_hydroelectric_1,eastern3_conventional_hydroelectric_1,eastern4_conventional_hydroelectric_1,eastern5_conventional_hydroelectric_1,eastern6_conventional_hydroelectric_1,western1_conventional_hydroelectric_1,western2_conventional_hydroelectric_1,western3_conventional_hydroelectric_1
0.11277500253760563,0.18068048510716933,0.005808251437189035,0.1915811791661606,0.5671430912199205,0.14565083334437628,0.2518743166601685,0.041817010949139276,0.7194768930869895,0.05919892155371678,0.4105395877293889,0.2134785192227252,0.30617716943070217,0.15805423720850253,0.30747383644955983,0.413073477651561,0.2720661566734266,0.27670573166769946,0.19056380299434653,0.1760400066587161
0.11404213739757871,0.18271060291736224,0.005873512689292283,0.1937337766848815,0.5699911331613283,0.14728735956172884,0.2530014316887672,0.042286865004747584,0.719503203589555,0.05986407797566866,0.41349814054234646,0.21587715427017157,0.30701248313437735,0.15978084392163927,0.30999359531471865,0.41423155123712657,0.27510662889623655,0.2798147848325051,0.1915674439100673,0.1777043242728994
0.1153092722575518,0.18474072072755515,0.005938773941395531,0.19588637420360244,0.5728391751027362,0.14892388577908136,0.25412854671736596,0.042756719060355886,0.7195295140921204,0.06052923439762053,0.4164566933553039,0.21827578931761787,0.30784779683805247,0.161507450634776,0.3125133541798775,0.41538962482269215,0.27814710111904656,0.2829238379973107,0.19257108482578805,0.1793686418870827
0.1165764071175249,0.18677083853774806,0.006004035193498778,0.19803897172232332,0.5756872170441438,0.15056041199643394,0.25525566174596465,0.043226573115964194,0.7195558245946859,0.0611943908195724,0.4194152461682614,0.2206744243650643,0.3086831105417276,0.16323405734791274,0.31503311304503634,0.4165476984082577,0.28118757334185657,0.2860328911621163,0.19357472574150875,0.181032959501266
0.11784354197749801,0.18880095634794097,0.006069296445602025,0.2001915692410442,0.5785352589855517,0.1521969382137865,0.25638277677456334,0.0436964271715725,0.7195821350972513,0.06185954724152427,0.42237379898121896,0.2230730594125106,0.30951842424540277,0.1649606640610495,0.3175528719101951,0.4177057719938233,0.2842280455646665,0.28914194432692186,0.19457836665722952,0.18269727711544925
0.1191106768374711,0.19083107415813388,0.006134557697705273,0.20234416675976513,0.5813833009269594,0.153833464431139,0.2575098918031621,0.044166281227180804,0.7196084455998168,0.06252470366347615,0.4253323517941764,0.22547169445995696,0.3103537379490779,0.16668727077418627,0.320072630775354,0.4188638455793889,0.28726851778747653,0.2922509974917275,0.19558200757295024,0.1843615947296325
0.1203778116974442,0.1928611919683268,0.006199818949808521,0.20449676427848604,0.5842313428683672,0.15546999064849154,0.2586370068317608,0.04463613528278911,0.7196347561023824,0.06318986008542803,0.4282909046071339,0.22787032950740332,0.31118905165275307,0.168413877487323,0.32259238964051273,0.42002191916495446,0.2903089900102864,0.29536005065653315,0.196585648488671,0.18602591234381585
0.1216449465574173,0.19489130977851973,0.006265080201911769,0.20664936179720694,0.5870793848097751,0.1571065168658441,0.25976412186035946,0.04510598933839742,0.7196610666049478,0.0638550165073799,0.43124945742009146,0.23026896455484963,0.3120243653564282,0.17014048420045974,0.3251121485056716,0.42117999275052004,0.2933494622330965,0.29846910382133873,0.19758928940439174,0.1876902299579991
0.12291208141739039,0.19692142758871264,0.006330341454015016,0.20880195931592785,0.5899274267511828,0.15874304308319662,0.2608912368889582,0.04557584339400572,0.7196873771075133,0.06452017292933176,0.434208010233049,0.232667599602296,0.31285967906010337,0.17186709091359648,0.3276319073708304,0.4223380663360856,0.2963899344559065,0.3015781569861444,0.1985929303201125,0.1893545475721824
0.12417921627736347,0.19895154539890553,0.006395602706118263,0.21095455683464875,0.5927754686925906,0.1603795693005492,0.2620183519175569,0.04604569744961404,0.7197136876100787,0.06518532935128364,0.43716656304600654,0.23506623464974236,0.3136949927637785,0.1735936976267332,0.33015166623598924,0.4234961399216512,0.2994304066787164,0.30468721015094996,0.19959657123583321,0.19101886518636568
